Question;Option A;Option B;Option C;Option D;Answer
There are two examination rooms A and B. If 10 students are sent from A to B, then the number of students in each room is the same. If 20 candidates are sent from B to A, then the number of students in A is double the number of students in B. The number of students in room A is:;20;80;100;200;C
The price of commodity X increases by 40 paise every year, while the price of commodity Y increases by 15 paise every year. If in 2001, the price of commodity X was Rs. 4.20 and that of Y was Rs. 6.30, in which year will commodity X cost 40 paise more than commodity Y?;2010;2011;2012;2013;B
If a - b = 3 and a² + b² = 29, find the value of ab.;10;12;15;18;A
The salaries A, B, and C are in the ratio 2:3:5. If increments of 15%, 10%, and 20% are allowed in their salaries, then what will be the new ratio of their salaries?;03:03:10;10:11:20;0.981944444;Cannot be determined;C
A and B entered into a partnership with capitals in the ratio 4:5. After 3 months, A withdrew some capital and B withdrew some of his capital. The gain at the end of 10 months was Rs. 760. A's share in the profit is:;Rs. 330;Rs. 360;Rs. 380;Rs. 430;A
What is R's share of profit in a joint venture? I. Q started business investing Rs. 80,000. II. R joined him after 3 months. III. P joined after 4 months with a capital of Rs. 1,20,000 and got Rs. 6000 as his share profit.;All I, II, and III;I and III only;II and III only;Even with all I, II, and III, the answer cannot be arrived at;D
A alone can do a piece of work in 6 days and B alone in 8 days. A and B undertook to do it for Rs. 3200. With the help of C, they completed the work in 3 days. How much is to be paid to C?;Rs. 375;Rs. 400;Rs. 600;Rs. 800;B
A goods train runs at the speed of 72 kmph and crosses a 250 m long platform in 26 seconds. What is the length of the goods train?;230 m;240 m;260 m;270 m;D
If log10 2 = 0.3010, then log2 10 is equal to:;699;1000;0.301;0.699;B
An error of 2% in excess is made while measuring the side of a square. The percentage of error in the calculated area of the square is:;2%;2.02%;4%;4.04%;D
In a shower, 5 cm of rain falls. The volume of water that falls on 1.5 hectares of ground is:;75 cu. m;750 cu. m;7500 cu. m;75000 cu. m;B
What is the volume of a cube? I. The area of each face of the cube is 64 square metres. II. The length of one side of the cube is 8 metres.;I alone sufficient while II alone not sufficient;II alone sufficient while I alone not sufficient;Either I or II alone sufficient to answer;Both I and II are not sufficient;C
The reflex angle between the hands of a clock at 10:25 is:;180º;192.5º;195º;197.5º;D
At what time between 4 and 5 o'clock will the hands of a watch point in opposite directions?;45 min past 4;40 min past 4;50.4 min past 4;54.6 min past 4;D
A 12% stock yielding 10% is quoted at:;Rs. 83.33;Rs. 110;Rs. 112;Rs. 120;D
In how many different ways can the letters of the word 'DETAIL' be arranged in such a way that the vowels occupy only the odd positions?;32;48;36;60;C
An observer 1.6 m tall is 203 m away from a tower. The angle of elevation from his eye to the top of the tower is 30º. The height of the tower is:;21.6 m;23.2 m;24.72 m;None of these;A
Find the odd one out: 1, 4, 9, 16, 23, 25, 36;9;23;25;36;B
Let N be the greatest number that will divide 1305, 4665, and 6905, leaving the same remainder in each case. The sum of the digits in N is:;4;5;6;8;A
The average weight of 8 persons increases by 2.5 kg when a new person comes in place of one of them weighing 65 kg. What might be the weight of the new person?;76 kg;76.5 kg;85 kg;Data inadequate;C
The difference between a two-digit number and the number obtained by interchanging the digits is 36. What is the difference between the sum and the difference of the digits of the number if the ratio between the digits of the number is 1:2?;4;8;16;None of these;B
The sum of the present ages of a father and his son is 60 years. Six years ago, the father's age was five times the son's age. After 6 years, the son's age will be:;12 years;14 years;18 years;20 years;D
Three candidates contested an election and received 1136, 7636, and 11628 votes, respectively. What percentage of the total votes did the winning candidate get?;57%;60%;65%;90%;A
In a certain store, the profit is 320% of the cost. If the cost increases by 25% but the selling price remains constant, approximately what percentage of the selling price is the profit?;30%;70%;100%;250%;B
If the cost of x meters of wire is d rupees, then what is the cost of y meters of wire at the same rate?;Rs. (xy/d);Rs. (xd);Rs. (yd);Rs. (yd/x);D
A flagstaff 17.5 m high casts a shadow of length 40.25 m. The height of a building, which casts a shadow of length 28.75 m under similar conditions, will be:;10 m;12.5 m;17.5 m;21.25 m;B
In how many days can 10 women finish a work? I. 10 men can complete the work in 6 days. II. 10 men and 10 women together can complete the work in 3 3/7 days. III. If 10 men work for 3 days and then 10 women replace them, the remaining work is completed in 4 days.;Any two of the three;I and II only;II and III only;I and III only;A
8 men and 14 women are working together in a field. After 3 days, 5 men and 8 women leave. How many more days will be required to complete the work? I. 19 men and 12 women together can complete the work in 18 days. II. 16 men can complete two-thirds of the work in 16 days. III. In 1 day, the work done by three men is equal to the work done by four women.;I only;II only;III only;I, II, or III;D
A towel, when bleached, was found to have lost 20% of its length and 10% of its breadth. The percentage decrease in area is:;10%;10.08%;20%;28%;D
What is the capacity of a cylindrical tank? I. Radius of the base is half of its height which is 28 metres. II. Area of the base is 616 sq. metres and its height is 28 metres.;I alone sufficient while II alone not sufficient;II alone sufficient while I alone not sufficient;Either I or II alone sufficient to answer;Both I and II are not sufficient;C
In a 100 m race, A covers the distance in 36 seconds and B in 45 seconds. In this race, A beats B by:;20 m;25 m;22.5 m;9 m;A
A 6% stock yields 8%. The market value of the stock is:;Rs. 48;Rs. 75;Rs. 96;Rs. 133.33;B
A box contains 2 white balls, 3 black balls, and 4 red balls. In how many ways can 3 balls be drawn from the box, if at least one black ball is to be included in the draw?;32;48;64;96;C
If Rs. 10 is allowed as true discount on a bill of Rs. 110 due at the end of a certain time, then the discount allowed on the same sum due at the end of double the time is:;Rs. 20;Rs. 21.81;Rs. 22;Rs. 18.33;D
10, 14, 16, 18, 21, 24, 26 – find the odd one out.;26;24;21;18;C
835, 734, 642, 751, 853, 981, 532 – find the odd one out.;751;853;981;532;A
1, 2, 6, 15, 31, 56, 91 – find the wrong number in the sequence.;31;91;56;15;B
7, 26, 63, 124, 215, 342 – find the next number in the series.;481;511;391;421;B
Two trains running in opposite directions cross a man standing on the platform in 27 seconds and 17 seconds respectively and they cross each other in 23 seconds. The ratio of their speeds is:;1:3;3:2;3:4;None of these;B
A train overtakes two persons walking along a railway track. The first one walks at 4.5 km/hr, and the other at 5.4 km/hr. The train needs 8.4 and 8.5 seconds respectively to overtake them. What is the speed of the train if both the persons are walking in the same direction as the train?;66 km/hr;72 km/hr;78 km/hr;81 km/hr;D
A runs 1.5 times as fast as B. If A gives B a start of 80 m, how far must the winning post be so that A and B might reach it at the same time?;200 m;300 m;270 m;160 m;A
Q is as much younger than R as he is older than T. If the sum of the ages of R and T is 50 years, what is definitely the difference between R and Q's age?;1 year;2 years;25 years;Data inadequate;D
The value of log2 16 is:;1/8;4;8;16;B
In a two-digit number, it is known that its unit’s digit exceeds its ten’s digit by 2 and that the product of the given number and the sum of its digits is equal to 144. The number is:;24;26;42;46;A
The square root of 64009 is:;253;347;363;803;A
What should come in place of both 'x' in the equation x/128 = 162/x?;12;14;144;196;A
A, B, and C can do a piece of work in 20, 30, and 60 days respectively. In how many days can A do the work if he is assisted by B and C on every third day?;12 days;15 days;16 days;18 days;B
The value of 489.1375 × 0.0483 × 1.956 is closest to:;0.006;0.06;0.6;6;B
Three numbers are in the ratio of 3:4:5, and their LCM is 2400. Their HCF is:;40;80;120;200;A
Which of the following fractions is the largest?;7/8;13/16;31/40;63/80;A
A sum of Rs. 725 is lent at the beginning of a year at a certain rate of interest. After 8 months, a sum of Rs. 362.50 more is lent, but at double the previous rate. At the end of the year, Rs. 33.50 is earned as interest from both loans. What was the original rate of interest?;3.60%;4.50%;5%;None of these;D
An accurate clock shows 8 o'clock in the morning. Through how many degrees will the hour hand rotate when the clock shows 2 o'clock in the afternoon?;144º;150º;168º;180º;D
From a group of 7 men and 6 women, five persons are to be selected to form a committee so that at least 3 men are on the committee. In how many ways can it be done?;564;645;735;756;D
A dishonest milkman professes to sell his milk at cost price but he mixes it with water and thereby gains 25%. The percentage of water in the mixture is:;4%;6%;20%;25%;C
A vessel is filled with liquid, 3 parts of which are water and 5 parts syrup. How much of the mixture must be drawn off and replaced with water so that the mixture may be half water and half syrup?;1/3;1/4;1/5;1/6;C
The cost price of Rs. 100 stock at 4% discount, when brokerage is 1/4%, is:;Rs. 95.75;Rs. 96;Rs. 96.25;Rs. 104.25;C
If 40% of a number is equal to two-third of another number, what is the ratio of the first number to the second number?;02:05;03:07;05:03;07:03;C
In a bag, there are coins of 25 p, 10 p, and 5 p in the ratio of 1 : 2 : 3. If there is Rs. 30 in all, how many 5 p coins are there?;50;100;150;200;C
A man takes loan from a bank at 12% p.a. simple interest. After 3 years, he paid Rs. 5400 as interest. What was the principal amount?;Rs. 2000;Rs. 10,000;Rs. 15,000;Rs. 20,000;C
A flagstaff 17.5 m high casts a shadow 40.25 m long. What is the height of a building that casts a shadow 28.75 m long under similar conditions?;10 m;12.5 m;17.5 m;21.25 m;B
The reflex angle between the hands of a clock at 10:25 is:;180º;192 ½º;195º;197 ½º;D
The diagonal of a rectangle is 41 cm, and its area is 20 cm². What is the perimeter of the rectangle?;9 cm;18 cm;20 cm;41 cm;B
A, B, and C can complete a task in 24, 6, and 12 days respectively. How many days will they take to finish the task if working together?;1 day;7/24 day;3 3/7 days;4 days;C
A train overtakes two persons walking along a railway track. The first one walks at 4.5 km/hr, and the other one at 5.4 km/hr. The train needs 8.4 and 8.5 seconds respectively to overtake them. What is the speed of the train?;66 km/hr;72 km/hr;78 km/hr;81 km/hr;D
A train of 240 meters long passes a pole in 24 seconds. How long will it take to pass a platform 650 meters long?;65 sec;89 sec;100 sec;150 sec;B
How many seconds will a 500-meter-long train take to cross a man walking with a speed of 3 km/hr in the direction of the moving train if the speed of the train is 63 km/hr?;25 sec;30 sec;40 sec;45 sec;B
In a 500 m race, the ratio of the speeds of two contestants A and B is 3 : 4. A has a start of 140 m. Then, A wins by:;60 m;40 m;20 m;10 m;C
A boatman goes 2 km against the current of the stream in 1 hour and goes 1 km along the current in 10 minutes. How long will it take to go 5 km in stationary water?;40 minutes;1 hour;1 hr 15 min;1 hr 30 min;C
