Question;Option A;Option B;Option C;Option D;Answer
Look at this series: -16, -25, -34, -43, ... What number should come next?;-41;-52;-50;-54;B
Look at this series: 97, 89, 81, 73, ... What number should come next?;61;65;67;80;B
Look at this series: 2, 4, 8, 16, ... What number should come next?;38;32;28;48;B
Look at this series: 0, 1, 2, 3, ... What number should come next?;4;19;8;-4;A
Look at this series: -1, -3, -5, -7, ... What number should come next?;-9;-17;-3;6;A
Look at this series: 7, 8, 0, 1, ... What number should come next?;17;-6;9;2;D
Look at this series: 6, 7, 0, 1, ... What number should come next?;6;16;2;-8;C
Look at this series: 200, 100, 50, 25, ... What number should come next?;30;7;12.5;20;C
Look at this series: 1.2, 2.6, 4.0, 5.4, ... What number should come next?;6.8;16.8;26.8;-1.2;A
Look at this series: 3, 9, 27, 81, ... What number should come next?;243;233;259;251;A
Look at this series: 3.7, 4.5, 5.3, 6.1, ... What number should come next?;6.9;20.9;1.9;13.9;A
Look at this series: -16, -22, -28, -34, ... What number should come next?;-50;-30;-35;-40;D
Look at this series: 81, 76, 71, 66, ... What number should come next?;53;78;70;61;D
Look at this series: -20, -21, -22, -23, ... What number should come next?;-16;-24;-10;-34;B
Look at this series: 1, 4, 16, 64, ... What number should come next?;256;264;272;253;A
Look at this series: 141, 35, 8, 2, ... What number should come next?;15;8;0;-1;C
Look at this series: -18, -28, -38, -48, ... What number should come next?;-48;-68;-58;-48;C
Look at this series: 59, 47, 35, 23, ... What number should come next?;11;8;21;31;A
Look at this series: 2, 3, 4, 5, ... What number should come next?;21;6;1;14;B
Look at this series: 4, 16, 64, 256, ... What number should come next?;1016;1036;1024;1026;C
Look at this series: 56, 44, 32, 20, ... What number should come next?;8;20;12;-2;A
Look at this series: 67, 57, 47, 37, ... What number should come next?;27;18;40;31;A
Look at this series: -3, -5, -7, -9, ... What number should come next?;-21;3;-11;-9;C
Look at this series: 2.3, 3.7, 5.1, 6.5, ... What number should come next?;0.9;7.9;27.9;15.9;B
Look at this series: 163, 54, 18, 6, ... What number should come next?;2;-1;7;22;A
Look at this series: -6, -10, -14, -18, ... What number should come next?;-9;-22;-19;-27;B
Look at this series: 9, 27, 81, 243, ... What number should come next?;732;729;728;739;B
Look at this series: 2, 8, 32, 128, ... What number should come next?;526;512;504;521;B
Look at this series: 10, 15, 20, 25, ... What number should come next?;30;27;44;34;A
Look at this series: 5, 15, 45, 135, ... What number should come next?;424;414;405;399;C
Look at this series: -15, -23, -31, -39, ... What number should come next?;-47;-39;-57;-27;A
Look at this series: 16, 22, 28, 34, ... What number should come next?;31;40;48;54;B
Look at this series: 74, 66, 58, 50, ... What number should come next?;57;49;42;34;C
Look at this series: 18, 20, 22, 24, ... What number should come next?;26;40;23;35;A
Look at this series: -4, -10, -16, -22, ... What number should come next?;-13;-28;-32;-20;B
Look at this series: 1, 2, 3, 4, ... What number should come next?;0;14;8;-3;A
Look at this series: -10, -16, -22, -28, ... What number should come next?;-38;-34;-15;-25;B
Look at this series: 4, 10, 16, 22, ... What number should come next?;45;27;32;28;D
Look at this series: 3.7, 5.1, 6.5, 7.9, ... What number should come next?;21.3;9.3;10.3;2.3;B
Look at this series: 1, 4, 9, 16, ... What number should come next?;17;28;42;25;D
Look at this series: 8, 16, 32, 64, ... What number should come next?;137;123;138;128;D
Look at this series: -11, -19, -27, -35, ... What number should come next?;-23;-35;-43;-53;C
Look at this series: 86, 80, 74, 68, ... What number should come next?;62;72;80;54;A
Look at this series: 16, 64, 256, 1024, ... What number should come next?;4096;4087;4105;4111;A
Look at this series: 14, 22, 30, 38, ... What number should come next?;45;63;46;54;C
Look at this series: 165, 41, 10, 2, ... What number should come next?;-6;0;8;16;B
Look at this series: -10, -11, -12, -13, ... What number should come next?;-4;-14;-23;-1;B
Look at this series: 0.5, 1.9, 3.3, 4.7, ... What number should come next?;22.1;15.1;-0.9;6.1;D
Look at this series: 69, 64, 59, 54, ... What number should come next?;50;41;66;49;D
Look at this series: 4, 9, 16, 25, ... What number should come next?;36;35;50;40;A
Look at this series: -6, -14, -22, -30, ... What number should come next?;-38;-31;-44;-19;A
Look at this series: 9, 14, 19, 24, ... What number should come next?;36;43;22;29;D
Look at this series: 1.5, 2.9, 4.3, 5.7, ... What number should come next?;24.1;6.1;11.1;7.1;D
Look at this series: -13, -17, -21, -25, ... What number should come next?;-12;-34;-22;-29;D
Look at this series: 2.5, 4.1, 5.7, 7.3, ... What number should come next?;22.9;2.9;8.9;10.9;C
Look at this series: 162, 54, 18, 6, ... What number should come next?;13;9;-8;2;D
Look at this series: 56, 51, 46, 41, ... What number should come next?;36;54;44;29;A
Look at this series: 60, 51, 42, 33, ... What number should come next?;24;14;41;32;A
Look at this series: -1, -6, -11, -16, ... What number should come next?;-1;-24;-21;-14;C
Look at this series: -6, -9, -12, -15, ... What number should come next?;-25;-14;-18;-7;C
Look at this series: 64, 256, 1024, 4096, ... What number should come next?;16394;16384;16380;16392;B
Look at this series: 1.0, 1.8, 2.6, 3.4, ... What number should come next?;15.2;7.2;4.2;-3.8;C
Look at this series: 161, 32, 6, 1, ... What number should come next?;12;0;-7;2;B
Look at this series: 9, 16, 25, 36, ... What number should come next?;48;49;67;51;B
Look at this series: 3.0, 3.6, 4.2, 4.8, ... What number should come next?;5.4;-1.59;8.4;19.4;A
Look at this series: 1, 5, 25, 125, ... What number should come next?;634;637;625;617;C
Look at this series: 160, 32, 6, 1, ... What number should come next?;0;-3;2;17;A
Look at this series: 3, 4, 5, 6, ... What number should come next?;10;21;7;5;C
Look at this series: 3.8, 5.2, 6.6, 8.0, ... What number should come next?;21.4;16.4;5.4;9.4;D
Look at this series: -20, -24, -28, -32, ... What number should come next?;-26;-24;-40;-36;D
Look at this series: 0.6, 1.0, 1.4, 1.8, ... What number should come next?;15.2;-6.8;4.2;2.2;D
Look at this series: 135, 67, 33, 16, ... What number should come next?;3;8;18;28;B
