subject,topic,subtopic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,hint,formula,explanation,source_file
Arithmetic,Time & Work,Single Person,Easy,A can finish a task in 10 days. How much of the task can he complete in 1 day?,1/10,1/5,1/2,1,A,Work done in 1 day is the reciprocal of total days.,Work = 1/Time,"If A takes 10 days to finish a task, in 1 day he completes 1/10th of the work.",time_and_work.csv
Arithmetic,Time & Work,Single Person,Easy,If B can complete a project in 15 days, what fraction of the project is finished in 3 days?,1/5,1/3,3/15,2/5,A,Multiply the work done per day by the number of days.,"Work = (1/Time) * Days,In 1 day B does 1/15. In 3 days he does 3/15 = 1/5.",time_and_work.csv
Arithmetic,Time & Work,Two Persons,Easy,A and B can complete a work in 10 and 15 days respectively. How many days will they take if they work together?,6,8,5,12,A,Use the combined work formula (ab)/(a+b).,(ab)/(a+b),"Combined work per day = 1/10 + 1/15 = 5/30 = 1/6. So, it takes 6 days.",time_and_work.csv
Arithmetic,Time & Work,Two Persons,Easy,If A can do a job in 20 days and B in 30 days, what is the ratio of their efficiency?,3:2,2:3,1:1,4:3,A,Efficiency is inversely proportional to time.,"Ratio = TimeB : TimeA,Efficiency A : B = 1/20 : 1/30 = 3:2.",time_and_work.csv
Arithmetic,Time & Work,Three Persons,Easy,A, B and C can do a work in 10, 15 and 30 days. How long to complete it together?,5,6,10,3,A,"Find the LCM of 10, 15, 30.,1 / (1/A + 1/B + 1/C),Total work (LCM) = 30 units. A=3 units/day, B=2, C=1. Total=6/day. 30/6 = 5 days.",time_and_work.csv
Arithmetic,Time & Work,Work Efficiency,Easy,A is twice as good as B at work. If B takes 10 days, how long does A take?,5,10,15,20,A,If efficiency is doubled," time is halved.,TimeA = TimeB / EfficiencyRatio,Since A is twice as efficient, he takes half the time. 10/2 = 5 days.",time_and_work.csv
Arithmetic,Time & Work,Alternate Days,Easy,A and B work on alternate days. A can do it in 10 days, B in 10 days. How long will it take?,10,5,8,12,A,Calculate the cycle of 2 days.,"Total Work / Work per cycle,Cycle (A+B) = 1/10 + 1/10 = 1/5. 5 cycles of 2 days = 10 days.",time_and_work.csv
Arithmetic,Time & Work,Pipes & Cisterns,Easy,Pipe A fills a tank in 10 hours and Pipe B empties it in 20 hours. How long to fill it?,20,15,10,25,A,Effective rate = (1/A - 1/B).,1 / (1/A - 1/B),Net rate = 1/10 - 1/20 = 1/20. Tank fills in 20 hours.,time_and_work.csv
Arithmetic,Time & Work,Men Women Children,Easy,If 2 men can do a job in 4 days, how many days for 4 men to do it?,2,4,8,1,A,Use the formula M1D1 = M2D2.,"M1D1 = M2D2,2 * 4 = 4 * D2. D2 = 2 days.",time_and_work.csv
Arithmetic,Time & Work,Work Distribution,Easy,A total work cost $1000. A does 1/4 of work, B does remaining. How much should A get?,250,500,750,1000,A,Wages are proportional to work done.,"Wage = Total * Fraction,A gets 1/4 of 1000 = 250.",time_and_work.csv
Arithmetic,Time & Work,Work & Wages,Easy,A earns $500 for 5 days of work. What is his daily wage?,100,50,150,200,A,Divide total earnings by days.,Wage = Total/Days,500 / 5 = 100 per day.,time_and_work.csv
Arithmetic,Time & Work,Two Persons,Easy,A can do a work in 12 days and B in 24 days. How many days if they work together?,8,6,10,12,A,Use (ab)/(a+b).,(ab)/(a+b),(1224)/(12+24) = 288/36 = 8 days.,time_and_work.csv
Arithmetic,Time & Work,Pipes & Cisterns,Easy,A pipe fills a tank in 5 hours. How much is filled in 1 hour?,1/5,1/2,1,1/10,A,Reciprocal of time.,1/Time,"1/5th of the tank.""",time_and_work.csv
Arithmetic,Time & Work,Work Efficiency,Easy,If A can do 1/5 work in 1 day, how long to complete the whole task?,5,4,3,2,A,Reciprocal of work.,"1 / (Work/Day),1 / (1/5) = 5 days.",time_and_work.csv
Arithmetic,Time & Work,Two Persons,Easy,A and B can do a job in 8 days. If A does it in 12 days, how long for B alone?,24,16,20,10,A,Use 1/B = 1/(A+B) - 1/A.,"1/B = 1/WorkTotal - 1/A,1/8 - 1/12 = 3/24 - 2/24 = 1/24. 24 days.",time_and_work.csv
Arithmetic,Time & Work,Three Persons,Easy,If 3 people take 4 days to finish a task, how many days for 1 person (same speed)?,12,8,6,4,A,Multiply people by days.,"TotalWork = People * Days,3 * 4 = 12 days.",time_and_work.csv
Arithmetic,Time & Work,Work & Wages,Easy,A and B finish work for $600. A does 2/3 of the work. How much does B get?,200,300,400,100,A,B does 1 - 2/3 = 1/3 of the work.,Wage = Total * Fraction,B gets 1/3 of 600 = 200.,time_and_work.csv
Arithmetic,Time & Work,Men Women Children,Easy,5 men can plant 5 trees in 5 days. How many days for 1 man to plant 1 tree?,5,1,10,2,A,The rate per man is constant.,M1D1/W1 = M2D2/W2,(55)/5 = (1D2)/1. D2 = 5 days.,time_and_work.csv
Arithmetic,Time & Work,Single Person,Easy,A can complete 50% of work in 10 days. How long to finish the whole?,20,15,5,25,A,Double the time for 50%.,TimeTotal = TimeHalf * 2,10 * 2 = 20 days.,time_and_work.csv
Arithmetic,Time & Work,Two Persons,Easy,A and B finish a project in 20 days. If A is twice as fast as B, how long does A take alone?,30,40,20,50,A,B takes twice the time of A.,"x + 2x = TotalWorkFactor,If A=x, B=2x. 1/x + 1/2x = 1/20. 3/2x = 1/20. 2x=60, x=30. Wait: x=30.",time_and_work.csv
Arithmetic,Time & Work,Single Person,Medium,A takes 20 days to finish a task. He works for 5 days. What fraction is left?,3/4,1/4,1/5,2/5,A,Subtract work done from 1.,1 - (DaysWorked/TotalDays),1 - 5/20 = 1 - 1/4 = 3/4 left.,time_and_work.csv
Arithmetic,Time & Work,Two Persons,Medium,A and B together take 10 days. A alone takes 15 days. How long does B take?,30,20,25,35,A,Use 1/B = 1/T - 1/A.,1/B = 1/T - 1/A,1/10 - 1/15 = 3/30 - 2/30 = 1/30. 30 days.,time_and_work.csv
Arithmetic,Time & Work,Work Efficiency,Medium,A is 50% faster than B. If B takes 15 days, how long does A take?,10,12,18,20,A,Ratio of efficiency A:B = 150:100 = 3:2.,"TimeA = (TimeB * EffB) / EffA,Time A = (15 * 2) / 3 = 10 days.",time_and_work.csv
Arithmetic,Time & Work,Alternate Days,Medium,A and B can do a job in 10 and 15 days. They work alternate days starting with A. How long?,12,11,10,13,A,Find units and alternate sum.,Sum of 2-day cycles,"LCM=30. A=3/d, B=2/d. Cycle(2d)=5 units. 6 cycles=12 days. 30/5 = 6 cycles = 12 days.",time_and_work.csv
Arithmetic,Time & Work,Pipes & Cisterns,Medium,A fills in 10 hours, B in 15. If both are open, how long to fill?,6,8,12,5,A,"1/Rate = 1/A + 1/B.,(ab)/(a+b),(1015)/(10+15) = 150/25 = 6 hours.",time_and_work.csv
Arithmetic,Time & Work,Men Women Children,Medium,10 men can do a job in 6 days. 12 women can do it in 10 days. Ratio of efficiencies?,1:1,2:1,1:2,3:2,A,Equate total work: 106M = 1210W.,M/W = (1210)/(106),60M = 120W -> M/W = 2/1. 2:1.,time_and_work.csv
Arithmetic,Time & Work,Work Distribution,Medium,A and B work together for $2000. A is 3 times as efficient as B. How much does A get?,1500,1000,500,1200,A,Divide in ratio of efficiencies.,Total * (EffA / (EffA+EffB)),A gets 3/4 of 2000 = 1500.,time_and_work.csv
