subject,topic,subtopic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,hint,formula,explanation
Grammar,Active & Passive Voice,Present Tense,Easy,"Change to passive: ""They play cricket.""",Cricket is played by them.,Cricket was played by them.,Cricket is being played by them.,Cricket has been played by them.,A,Keep the tense consistent.,Object + is/am/are + V3 + by + Subject,Simple present 'play' becomes 'is played' in passive voice.
Grammar,Active & Passive Voice,Present Tense,Easy,"Identify the passive form: ""The task is done by him.""",He does the task.,He is doing the task.,He did the task.,He has done the task.,A,Reverse the passive rule.,Subject + V1/V5 + Object,The passive 'is done' indicates simple present tense.
Grammar,Active & Passive Voice,Present Tense,Easy,"Change to passive: ""He cleans the room.""",The room is being cleaned by him.,The room was cleaned by him.,The room is cleaned by him.,The room has been cleaned by him.,C,Apply simple present passive rule.,Object + is/am/are + V3 + by + Subject,'Cleans' is simple present; needs 'is cleaned'.
Grammar,Active & Passive Voice,Present Tense,Easy,"Change to passive: ""She sings a song.""",A song is sung by her.,A song was sung by her.,A song is being sung by her.,A song has been sung by her.,A,Check the auxiliary verb.,Object + is/am/are + V3 + by + Subject,'Sings' is simple present; passive is 'is sung'.
Grammar,Active & Passive Voice,Present Tense,Easy,"Convert to passive: ""Students read books.""",Books are read by students.,Books are being read by students.,Books were read by students.,Books have been read by students.,A,Note the plural object.,Object + is/am/are + V3 + by + Subject,"'Read' is plural, so use 'are'."
Grammar,Active & Passive Voice,Present Tense,Easy,"Change to passive: ""I love music.""",Music is loved by me.,Music was loved by me.,Music is being loved by me.,Music has been loved by me.,A,Identify the correct auxiliary.,Object + is/am/are + V3 + by + Subject,'Love' is simple present; 'Music' is singular.
Grammar,Active & Passive Voice,Present Tense,Easy,"Identify passive: ""The cake is baked by mom.""",Mom bakes the cake.,Mom baked the cake.,Mom is baking the cake.,Mom has baked the cake.,A,Convert passive back to active.,Subject + V1/V5 + Object,'Is baked' confirms simple present.
Grammar,Active & Passive Voice,Present Tense,Easy,"Change to passive: ""We watch movies.""",Movies are watched by us.,Movies were watched by us.,Movies are being watched by us.,Movies have been watched by us.,A,Match the tense.,Object + is/am/are + V3 + by + Subject,'Watch' is simple present.
Grammar,Active & Passive Voice,Present Tense,Easy,"Change to passive: ""He likes coffee.""",Coffee is liked by him.,Coffee was liked by him.,Coffee is being liked by him.,Coffee has been liked by him.,A,Select the correct form.,Object + is/am/are + V3 + by + Subject,Simple present active requires 'is/are + V3'.
Grammar,Active & Passive Voice,Past Tense,Easy,"Change to passive: ""He wrote a letter.""",A letter was written by him.,A letter is written by him.,A letter had been written by him.,A letter was being written by him.,A,Identify the past tense.,Object + was/were + V3 + by + Subject,'Wrote' is simple past; passive is 'was written'.
Grammar,Active & Passive Voice,Past Tense,Easy,"Change to passive: ""They built a house.""",A house was built by them.,A house is built by them.,A house is being built by them.,A house had been built by them.,A,Simple past changes to 'was/were' + V3.,Object + was/were + V3 + by + Subject,'Built' is past; needs 'was built'.
